t,ecg
10.745015,512
10.745028,517
10.745041,501
10.745055,515
10.745068,520
10.745081,534
10.745094,527
10.824956,541
10.824995,497
10.825009,551
10.825022,449
10.825036,293
10.825050,207
10.825063,324
10.825077,516
10.825090,614
10.825103,620
10.933760,575
10.933789,522
10.933832,588
10.933849,553
10.933862,572
10.933876,536
10.933889,531
10.933902,508
10.933915,527
10.933928,511
11.042476,506
11.042508,522
11.042522,555
11.042535,526
11.042548,536
11.042561,484
11.042574,528
11.042587,536
11.042600,516
11.042614,466
11.121199,566
11.121222,526
11.121236,531
11.121250,489
11.121263,535
11.121276,521
11.121289,537
11.121305,525
11.121319,558
11.121332,556
11.227478,566
11.227509,570
11.227523,568
11.227537,561
11.227550,547
11.227563,546
11.227576,544
11.227590,553
11.227603,564
11.227616,537
11.343710,560
11.343749,520
11.343765,509
11.343778,550
11.343792,542
11.343806,526
11.343818,558
11.343832,542
11.343845,540
11.343858,504
11.418737,556
11.418784,534
11.418799,517
11.418813,550
11.418826,561
11.418839,536
11.418851,579
11.418865,543
11.418878,563
11.418891,574
11.528729,579
11.528778,531
11.528793,564
11.528808,563
11.528821,553
11.528835,539
11.528850,533
11.528864,540
11.528877,561
11.528890,529
11.636237,547
11.636292,540
11.636307,560
11.636321,532
11.636335,548
11.636348,559
11.636362,553
11.636376,559
11.636389,586
11.636402,575
11.746232,601
11.746263,576
11.746278,655
11.746292,632
11.746305,622
11.746319,631
11.746332,671
11.746345,683
11.746358,678
11.746371,640
11.821224,660
11.821262,673
11.821277,650
11.821291,627
11.821304,632
11.821318,578
11.821331,616
11.821343,568
11.821357,576
11.821370,587
11.937461,590
11.937490,557
11.937505,594
11.937519,552
11.937532,567
11.937546,534
11.937559,474
11.937571,318
11.937615,263
11.937631,339
12.019977,529
12.020005,641
12.020020,681
12.020033,626
12.020047,1022
12.020060,1022
12.020074,1022
12.020087,1022
12.020101,1022
12.020114,1022
12.124974,1022
12.125004,963
12.125019,910
12.125032,823
12.125045,756
12.125058,705
12.125071,656
12.125085,648
12.125098,589
12.125111,537
12.238756,534
12.238787,484
12.238802,452
12.238816,441
12.238829,452
12.238842,387
12.238856,424
12.238869,365
12.238882,388
12.238895,353
12.343741,353
12.343770,316
12.343785,354
12.343798,347
12.343812,337
12.343825,328
12.343838,352
12.343852,320
12.343865,708
12.343878,853
12.417475,827
12.417521,789
12.417536,737
12.417549,718
12.417562,664
12.417576,603
12.417677,588
12.417692,560
12.417705,559
12.417718,525
12.523772,471
12.523822,549
12.523837,522
12.523855,475
12.523869,464
12.523883,450
12.523896,435
12.523909,417
12.523922,393
12.523935,365
12.633781,402
12.633831,401
12.633846,408
12.633860,381
12.633874,379
12.633888,359
12.633901,352
12.633914,329
12.633928,373
12.633941,383
12.743942,376
12.743996,372
12.744012,369
12.744029,361
12.744043,360
12.744057,347
12.744071,365
12.744084,397
12.744097,392
12.744111,413
12.817451,413
12.817496,421
12.817506,423
12.817516,410
12.817525,427
12.817534,376
12.817543,450
12.817554,448
12.817563,454
12.817572,458
12.923717,459
12.923751,457
12.923765,460
12.923777,472
12.923789,470
12.923802,559
12.923814,552
12.923826,460
12.923837,350
12.923848,198
13.032493,349
13.032532,489
13.032547,623
13.032563,632
13.032577,680
13.032590,639
13.032604,636
13.032617,609
13.032630,609
13.032643,599
13.147370,605
13.147408,563
13.147414,599
13.147419,630
13.147424,613
13.147429,580
13.147433,578
13.147438,543
13.147442,542
13.147447,520
13.222333,529
13.222350,510
13.222356,558
13.222362,519
13.222367,523
13.222371,505
13.222376,499
13.222380,492
13.222385,487
13.222389,443
13.333593,501
13.333607,527
13.333612,543
13.333617,523
13.333622,525
13.333628,494
13.333632,494
13.333637,483
13.333641,513
13.333646,436
13.439848,516
13.439880,533
13.439886,505
13.439890,483
13.439895,492
13.439900,469
13.439904,478
13.439914,463
13.439919,473
13.439923,456
13.521061,486
13.521093,457
13.521098,482
13.521103,475
13.521107,452
13.521112,434
13.521116,451
13.521121,440
13.521126,436
13.521130,393
13.623608,414
13.623638,442
13.623643,449
13.623651,419
13.623656,431
13.623660,410
13.623665,418
13.623669,399
13.623674,419
13.623678,393
13.732338,405
13.732352,444
13.732358,438
13.732362,399
13.732367,412
13.732371,387
13.732375,401
13.732380,397
13.732384,371
13.732393,424
13.837540,418
13.837646,404
13.837658,404
13.837664,385
13.837669,391
13.837674,417
13.837679,389
13.837683,410
13.837708,429
13.837713,424
13.918603,425
13.918637,364
13.918643,277
13.918647,102
13.918652,211
13.918657,369
13.918661,486
13.918666,521
13.918670,507
13.918678,450
14.023630,441
14.023658,433
14.023663,455
14.023668,448
14.023672,456
14.023677,419
14.023682,431
14.023686,441
14.023691,408
14.023695,414
14.133613,396
14.133628,444
14.133633,415
14.133638,399
14.133642,382
14.133647,395
14.133651,405
14.133656,367
14.133661,381
14.133671,371
14.223565,379
14.223598,373
14.223603,392
14.223609,371
14.223613,392
14.223618,371
14.223622,414
14.223627,408
14.223631,451
14.223635,435
14.322373,428
14.322387,444
14.322393,448
14.322397,416
14.322402,476
14.322407,466
14.322411,467
14.322416,460
14.322420,461
14.322425,475
14.427349,485
14.427365,475
14.427370,480
14.427377,491
14.427382,498
14.427387,508
14.427391,525
14.427395,485
14.427400,526
14.427404,535
14.538613,532
14.538644,520
14.538649,500
14.538654,510
14.538658,519
14.538663,487
14.538667,511
14.538672,514
14.538676,546
14.538681,520
14.645000,527
14.645033,510
14.645038,508
14.645043,473
14.645047,527
14.645052,510
14.645056,512
14.645061,500
14.645066,526
14.645070,496
14.737355,504
14.737372,501
14.737377,489
14.737381,501
14.737386,515
14.737390,534
14.737395,521
14.737400,513
14.737404,522
14.737409,498
14.822322,506
14.822354,472
14.822359,480
14.822364,536
14.822368,502
14.822373,489
14.822377,492
14.822381,469
14.822386,496
14.822391,503
14.926107,539
14.926119,474
14.926124,413
14.926128,263
14.926133,274
14.926137,409
14.926142,597
14.926146,614
14.926150,637
14.926155,622
15.036124,612
15.036142,593
15.036146,579
15.036153,567
15.036157,556
15.036162,565
15.036166,533
15.036170,535
15.036175,579
15.036180,544
15.146129,539
15.146143,531
15.146149,533
15.146153,495
15.146158,363
15.146163,117
15.146167,112
15.146171,116
15.146176,153
15.146180,184
15.224895,209
15.224907,244
15.224912,279
15.224917,320
15.224922,371
15.224926,412
15.224931,430
15.224935,455
15.224939,426
15.224944,446
15.338623,452
15.338634,482
15.338638,520
15.338643,515
15.338647,545
15.338652,523
